siteID,runID,year,genus,species,degday_death,drought_death,shade_death,perm_death,flood_death,nutrient_death,fire_death,harv_death,wind_death,mean_diam,total_biomC,total_biomC_sd
632,2,15,Picea,PICEmari,0.00000,0.00000,0.00000,0.00000,0.00000,0.261779E-01,0.00000,0.00000,0.00000,2.51825,0.261779E-01,0.200465E-01
632,2,15,Populus,POPUbals,0.00000,0.00000,0.00000,0.00000,0.00000,0.115208,0.00000,0.00000,0.00000,4.95275,0.115208,0.952361E-01
632,2,15,Populus,POPUtrem,0.00000,0.00000,0.00000,0.00000,0.00000,0.469851E-01,0.00000,0.00000,0.00000,3.04438,0.469851E-01,0.386168E-01
632,2,15,Salix,SALIscou,0.00000,0.00000,0.311120E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.21838,0.311120E-01,0.209573E-01
632,2,20,Alnus,ALNUsinu,0.00000,0.00000,0.579799,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.83202,0.579799,0.420337
632,2,20,Alnus,ALNUtenu,1.02445,0.00000,0.419660E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.67836,1.06641,0.547237
632,2,20,Betula,BETUneoa,0.00000,0.00000,0.416751E-01,0.00000,0.00000,0.340278E-01,0.00000,0.00000,0.00000,3.70896,0.757029E-01,0.620026E-01
632,2,20,Larix,LARIlari,0.00000,0.00000,0.156185E-01,0.00000,0.00000,0.594302E-02,0.00000,0.00000,0.00000,1.80237,0.215616E-01,0.287952E-01
632,2,20,Picea,PICEglau,0.00000,0.00000,0.436425E-02,0.00000,0.00000,0.884197E-02,0.00000,0.00000,0.00000,1.64767,0.132062E-01,0.195995E-01
632,2,20,Picea,PICEmari,0.00000,0.00000,0.177385E-01,0.00000,0.00000,0.262365E-01,0.00000,0.00000,0.00000,2.78006,0.439750E-01,0.331749E-01
632,2,20,Populus,POPUbals,0.00000,0.00000,0.305929E-02,0.00000,0.00000,0.276680,0.00000,0.00000,0.00000,6.85377,0.279740,0.276537
632,2,20,Populus,POPUtrem,0.00000,0.00000,0.107506E-01,0.00000,0.00000,0.871829E-01,0.00000,0.00000,0.00000,4.16520,0.979335E-01,0.848678E-01
632,2,20,Salix,SALIscou,0.00000,0.00000,0.148504E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.24919,0.148504E-01,0.180275E-01
632,2,25,Alnus,ALNUsinu,0.00000,0.00000,0.243200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.66479,0.243200,0.344901
632,2,25,Alnus,ALNUtenu,0.768953E-01,0.00000,0.796282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.78549,0.873178,0.553792
632,2,25,Betula,BETUneoa,0.00000,0.00000,0.115073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.41229,0.115073,0.112514
632,2,25,Larix,LARIlari,0.00000,0.00000,0.332532E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.12068,0.332532E-01,0.489135E-01
632,2,25,Picea,PICEglau,0.00000,0.00000,0.281007E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.22650,0.281007E-01,0.413387E-01
632,2,25,Picea,PICEmari,0.00000,0.00000,0.924796E-01,0.00000,0.00000,0.876944E-03,0.00000,0.00000,0.00000,3.07757,0.933565E-01,0.667016E-01
632,2,25,Populus,POPUbals,0.00000,0.00000,0.629686E-01,0.00000,0.00000,0.629556,0.00000,0.00000,0.00000,8.42734,0.692525,0.791199
632,2,25,Populus,POPUtrem,0.00000,0.00000,0.125252,0.00000,0.00000,0.514265E-01,0.00000,0.00000,0.00000,5.03012,0.176679,0.171649
632,2,25,Salix,SALIscou,0.00000,0.00000,0.328519E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.543640,0.328519E-02,0.121232E-01
632,2,30,Alnus,ALNUsinu,0.00000,0.00000,0.919796E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.38165,0.919796E-01,0.255285
632,2,30,Alnus,ALNUtenu,0.945797E-02,0.00000,0.573550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.47113,0.583008,0.584541
632,2,30,Betula,BETUneoa,0.00000,0.00000,0.205048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.36245,0.205048,0.243326
