siteID,runID,year,odepth,odepth_sd,mdepth,moss_biom,active,OM,OM_N,flit_cornus,flit_acerfrax,flit_prunus,flit_betula,flit_queralba,flit_tsugthuj,flit_populus,flit_fagus,flit_querrubr,flit_abies,flit_picea,flit_pinus,flit_roots,flit_smboles,flit_lboles,flit_twigs,flit_smbranch,flit_lbranch,flit_WDW,flit_moss,lit_cornus,lit_acerfrax,lit_prunus,lit_betula,lit_queralba,lit_tsugthuj,lit_populus,lit_fagus,lit_querrubr,lit_abies,lit_picea,lit_pinus,lit_roots,lit_smboles,lit_lboles,lit_twigs,lit_smbranch,lit_lbranch,lit_WDW,lit_moss,avail_n
632,2,50,17.1116,0.707592,0.138815E-01,24.9866,106.649,65.1159,1.20947,0.00000,0.00000,0.00000,4.35023,0.00000,0.00000,5.05293,0.00000,0.00000,0.00000,7.81760,3.05714,13.0003,1.85029,45.5257,2.45346,4.02295,11.4375,8.56247,0.676595E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,67.7567
632,2,55,18.1989,0.763745,0.184918E-01,33.2853,100.978,71.1523,1.32108,0.00000,0.00000,0.00000,3.41727,0.00000,0.00000,4.15152,0.00000,0.00000,0.00000,8.43750,3.07894,11.6856,1.47891,49.7715,2.25277,3.69388,10.5019,1.14930,0.681090E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,72.6172
632,2,60,17.9958,0.910380,0.202050E-01,36.3691,107.487,70.3529,1.29148,0.00000,0.00000,0.00000,2.54190,0.00000,0.00000,3.08560,0.00000,0.00000,0.00000,8.93535,3.12674,9.35871,1.29226,50.5464,1.98813,3.25995,9.26821,2.66770,0.767467E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,82.6466
632,2,65,18.1586,0.961226,0.198424E-01,35.7164,102.564,68.8846,1.24674,0.00000,0.00000,0.00000,2.23973,0.00000,0.00000,2.35017,0.00000,0.00000,0.00000,10.3685,3.26367,9.99640,1.35117,50.6130,1.88635,3.09306,8.79371,4.57566,0.880322E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,65.9782
632,2,70,17.7376,1.02304,0.190473E-01,34.2851,106.444,66.8690,1.19281,0.00000,0.00000,0.00000,1.73586,0.00000,0.00000,1.63292,0.00000,0.00000,0.00000,10.8174,3.10622,9.01726,1.52493,48.9827,1.73095,2.83824,8.06925,6.59129,0.859538E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,77.1311
632,2,75,17.8453,1.03869,0.182291E-01,32.8123,105.190,66.5104,1.17243,0.00000,0.00000,0.00000,1.46790,0.00000,0.00000,1.20024,0.00000,0.00000,0.00000,11.5582,3.05169,9.11081,1.60657,46.5403,1.75109,2.87128,8.16319,7.81069,0.826085E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,72.5023
632,2,80,17.4288,1.07016,0.146921E-01,26.4457,108.202,65.2969,1.13716,0.00000,0.00000,0.00000,1.07299,0.00000,0.00000,0.826773,0.00000,0.00000,0.00000,11.3430,2.78945,11.4098,1.52059,46.0479,1.98375,3.25277,9.24778,8.38911,0.717613E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,76.2286
632,2,85,17.4467,1.09464,0.195257E-01,35.1463,104.756,65.5796,1.13251,0.00000,0.00000,0.00000,0.904815,0.00000,0.00000,0.552166,0.00000,0.00000,0.00000,11.3777,2.87718,10.2839,1.29347,44.3777,1.84736,3.02913,8.61197,8.05518,0.702565E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,62.6147
632,2,90,17.8754,1.15879,0.217911E-01,39.2241,103.313,66.6578,1.14581,0.00000,0.00000,0.00000,0.753339,0.00000,0.00000,0.394597,0.00000,0.00000,0.00000,11.9946,3.03887,8.61626,1.06293,42.8246,1.78036,2.91926,8.29961,7.90351,0.837547E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,49.5847
632,2,95,18.2772,1.25734,0.172136E-01,30.9844,103.092,66.5820,1.13754,0.00000,0.00000,0.00000,0.677747,0.00000,0.00000,0.298479,0.00000,0.00000,0.00000,13.0662,3.15609,9.66285,0.843370,42.2092,1.80821,2.96493,8.42945,7.50269,0.103034,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,55.7503
