siteID,runID,year,rain,pet,solar_rad,thaw_depth,organic_depth,avail_n,aet,grow,pc_germ,degd,drydays,saw0_ByFC,saw0_BySAT,aow0_ByMin,wilt_days,flood_d
632,2,160,31.0012,28.2932,76334.3,110.954,18.5481,53.6431,14.3660,142.000,1.00000,990.189,0.00000,0.894168,0.658821,6.88944,0.00000,0.00000
632,2,165,37.6782,24.8297,73907.5,98.4460,19.0929,32.4056,14.3954,132.000,0.989494,860.915,0.00000,1.01384,0.748617,8.70109,0.00000,0.169242
632,2,170,30.7770,27.2054,76282.3,105.762,19.0308,45.1616,13.6477,142.000,1.00000,929.019,0.00000,0.904772,0.666678,7.18481,0.00000,0.00000
632,2,175,27.2036,28.0876,76111.9,105.670,19.5700,46.4301,15.0865,142.000,1.00000,998.623,0.153442E-01,0.913465,0.682786,8.03603,0.00000,0.778169E-02
632,2,180,34.2764,29.1411,78804.7,101.546,20.0029,47.1628,15.9631,144.000,1.00000,1027.59,0.00000,0.931237,0.692191,7.44293,0.00000,0.475694E-02
632,2,185,35.8926,25.5920,76122.8,91.7532,20.9547,28.7993,14.7465,129.000,1.00000,847.532,0.00000,0.996675,0.746149,8.66008,0.00000,0.162635
632,2,190,38.3717,25.9121,76301.9,99.0725,21.7133,29.6333,14.8440,134.000,1.00000,940.977,0.00000,1.01095,0.767237,8.70211,0.00000,0.282873
632,2,195,33.6409,26.8487,76564.6,96.6513,22.6797,30.2830,13.9784,131.000,1.00000,948.994,0.00000,1.00580,0.759316,8.40504,0.00000,0.265649
632,2,200,28.4414,29.1153,77841.6,105.640,23.1049,51.6599,13.1462,143.000,1.00000,1028.67,0.989467E-02,0.912825,0.704269,7.17138,0.00000,0.506993E-01
291,1,0,31.1629,30.3059,78548.5,148.816,9.22131,45.0728,17.0867,134.000,1.00000,933.265,0.00000,0.833994,0.613693,9.64365,0.00000,0.00000
291,1,5,26.8196,27.9845,79692.5,109.656,9.99723,22.6488,17.0099,134.000,0.873945,751.229,0.208135E-01,0.881537,0.648678,10.0179,0.00000,0.00000
291,1,10,29.2657,28.7466,77466.0,112.045,11.1109,24.6324,18.1691,134.000,1.00000,872.916,0.00000,0.896980,0.660042,9.74481,0.00000,0.00000
291,1,15,40.0013,28.1695,77093.0,110.185,12.2840,30.4608,17.9934,133.000,1.00000,876.577,0.00000,0.931053,0.685115,10.1299,0.00000,0.00000
291,1,20,31.1338,27.6311,76160.1,112.009,13.5986,36.3804,15.3869,137.000,0.909729,887.587,0.00000,0.916370,0.674311,9.26005,0.00000,0.583942E-01
291,1,25,33.3689,28.2145,79216.6,101.023,15.6998,44.8107,16.1449,130.000,0.944839,746.740,0.00000,0.916662,0.674525,9.08330,0.00000,0.00000
291,1,30,25.9318,27.7368,76726.5,103.405,16.7479,49.9216,14.0832,135.000,0.989019,861.574,0.325374E-01,0.906275,0.678445,8.25093,0.00000,0.00000
291,1,35,35.6661,29.6002,78922.7,103.395,17.9288,50.7258,17.0222,132.000,0.956454,880.516,0.00000,0.971881,0.715670,8.85815,0.00000,0.170113
291,1,40,29.6330,28.3994,77325.3,100.799,18.5001,62.7146,14.5784,130.000,0.996644,825.958,0.00000,0.906268,0.666877,7.87462,0.00000,0.00000
291,1,45,31.1144,29.9300,78797.8,100.306,19.3902,64.2991,15.9056,133.000,0.924329,886.424,0.00000,0.913551,0.682794,8.04566,0.00000,0.00000
291,1,50,32.2384,27.3706,74972.3,95.3553,20.1467,49.9221,13.8860,134.000,0.949165,850.810,0.00000,0.929736,0.734653,8.32674,0.00000,0.124627E-01
291,1,55,35.2487,27.4893,76180.5,86.8601,21.7435,43.2558,14.8650,133.000,1.00000,774.466,0.00000,0.960437,0.734358,8.43846,0.00000,0.902256E-03
