siteID,runID,year,genus,degday_death,drought_death,shade_death,perm_death,flood_death,nutrient_death,fire_death,harv_death,wind_death,mean_diam,total_biomC,total_biomC_sd
632,2,25,Salix,0.00000,0.00000,0.328519E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.543640,0.328519E-02,0.121232E-01
632,2,30,Alnus,0.945797E-02,0.00000,0.665529,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.25171,0.674987,0.601880
632,2,30,Betula,0.00000,0.00000,0.205048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.36245,0.205048,0.243326
632,2,30,Larix,0.00000,0.00000,0.329186E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.98062,0.329186E-01,0.561777E-01
632,2,30,Picea,0.00000,0.00000,0.194710,0.00000,0.00000,0.325096E-02,0.00000,0.00000,0.00000,4.32161,0.197961,0.140349
632,2,30,Populus,0.00000,0.00000,0.251117,0.00000,0.00000,0.840326,0.00000,0.00000,0.00000,9.96928,1.09144,1.42922
632,2,30,Salix,0.00000,0.00000,0.198002E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.231958,0.198002E-02,0.134779E-01
632,2,35,Alnus,0.00000,0.00000,0.376775,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.81951,0.376775,0.518821
632,2,35,Betula,0.00000,0.00000,0.171159E-02,0.00000,0.226174,0.00000,0.00000,0.00000,0.00000,4.70495,0.227886,0.326345
632,2,35,Larix,0.00000,0.00000,0.428555E-01,0.00000,0.523024E-02,0.00000,0.00000,0.00000,0.00000,2.07993,0.480858E-01,0.871896E-01
632,2,35,Picea,0.00000,0.00000,0.664115E-01,0.00000,0.187577,0.00000,0.00000,0.00000,0.00000,5.26810,0.253989,0.185983
632,2,35,Populus,0.00000,0.00000,0.143656E-02,0.00000,1.47927,0.00000,0.00000,0.00000,0.00000,10.2555,1.48070,2.42360
632,2,35,Salix,0.00000,0.00000,0.229510E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.204576,0.229510E-02,0.181654E-01
632,2,40,Alnus,0.00000,0.00000,0.167924,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.71700,0.167924,0.383901
632,2,40,Betula,0.00000,0.00000,0.275994,0.00000,0.00000,0.479278E-02,0.00000,0.00000,0.00000,4.47442,0.280787,0.467749
632,2,40,Larix,0.00000,0.00000,0.467698E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.86383,0.467698E-01,0.100594
632,2,40,Picea,0.00000,0.00000,0.344896,0.00000,0.00000,0.255137E-01,0.00000,0.00000,0.00000,5.40112,0.370409,0.282728
632,2,40,Populus,0.00000,0.00000,0.182276,0.00000,0.00000,1.11430,0.00000,0.00000,0.00000,7.77536,1.29657,3.02821
632,2,40,Salix,0.00000,0.00000,0.687956E-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.521642E-01,0.687956E-03,0.972916E-02
632,2,45,Alnus,0.00000,0.00000,0.703681E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.91644,0.703681E-01,0.239361
