site,latitude,longitude,name,region,elevation,slope,aspect,asat,a_fc,a_pwp,o_sat,o_fc,o_pwp,a_bd,o_bd,itxt,hum_init,A_depth,wprob,stand_age,gcm_year,flow
291,63.9198,-145.3782,test1,Alaska,518,4,32.60313914,0.53,0.39,0.06,0.38,0.3,0.038,1250,84,2,55.3,1,0,200,100,
632,64.76742521,-148.2795018,test2,Alaska,259.1871033,0.384655653,196.2789197,0.44,0.28,0.06,0.38,0.3,0.038,1250,84,1,55.3,1,0,200,100,
