site,latitude,longitude,strmn_jan,strmn_feb,strmn_mar,strmn_apr,strmn_may,strmn_jun,strmn_jul,strmn_aug,strmn_sep,strmn_oct,strmn_nov,strmn_dec,strsd_jan,strsd_feb,strsd_mar,strsd_apr,strsd_may,strsd_jun,strsd_jul,strsd_aug,strsd_sep,strsd_oct,strsd_nov,strsd_dec
test1,63.9198,-145.3782,0,0,0,0,0,0.001,0.005913978494624,0.000967741935484,0,0,0,0,0,0,0,0,0,0.001122167215374,0.006405750971444,0,0,0,0,0
test2,64.767452,-148.2795,0,0,0,0,0.000322580645161,0.0025,0.002741935483871,0.000483870967742,0,0,0,0,0,0,0,0,0,0.001290994448736,0.00296528650175,0.000228098961673,0,0,0,0
