site,latitude,longitude,BETUkena,BETUneoa,LARIlari,PICEglau,PICEmari,POPUbals,POPUtrem
291,63.9198,-145.3782,1,1,1,1,1,1,1
632,64.76742521,-148.2795018,1,1,1,1,1,1,1
