site,latitude,longitude,name,region,elevation,slope,aspect,asat,a_fc,a_pwp,o_sat,o_fc,o_pwp,a_bd,o_bd,itxt,hum_init,fprob,wprob,stand_age
291,63.9198,-145.3782,test1,Alaska,518,4,32.60313914,0.4,0.2,0.06,0.38,0.3,0.038,1250,84,2,55.3,3,0,200
632,64.76742521,-148.2795018,test2,Alaska,259.1871033,0.384655653,196.2789197,0.35,0.2,0.06,0.38,0.3,0.038,1250,84,1,55.3,6,0,200
